Year,Region,Seed,Team,TeamNo
2025,East,16,Alabama St.,1145
2025,East,1,Auburn,1141
2025,East,9,Creighton,1134
2025,East,8,Louisville,1119
2025,East,12,UC San Diego,1089
2025,East,5,Michigan,1114
2025,East,13,Yale,1080
2025,East,4,Texas A&M,1092
2025,East,11,North Carolina,1104
2025,East,6,Mississippi,1112
2025,East,14,Lipscomb,1120
2025,East,3,Iowa St.,1124
2025,East,10,New Mexico,1106
2025,East,7,Marquette,1118
2025,East,15,Bryant,1139
2025,East,2,Michigan St.,1113
2025,West,16,Norfolk St.,1105
2025,West,1,Florida,1131
2025,West,9,Oklahoma,1103
2025,West,8,Connecticut,1135
2025,West,12,Colorado St.,1136
2025,West,5,Memphis,1115
2025,West,13,Grand Canyon,1128
2025,West,4,Maryland,1117
2025,West,11,Drake,1133
2025,West,6,Missouri,1110
2025,West,14,North Carolina Wilmington,1087
2025,West,3,Texas Tech,1091
2025,West,10,Arkansas,1142
2025,West,7,Kansas,1123
2025,West,15,Nebraska Omaha,1107
2025,West,2,St. John's,1095
2025,South,16,American,1144
2025,South,1,Duke,1132
2025,South,9,Baylor,1140
2025,South,8,Mississippi St.,1111
2025,South,12,Liberty,1121
2025,South,5,Oregon,1102
2025,South,13,Akron,1147
2025,South,4,Arizona,1143
2025,South,11,VCU,1084
2025,South,6,BYU,1138
2025,South,14,Montana,1109
2025,South,3,Wisconsin,1083
2025,South,10,Vanderbilt,1085
2025,South,7,St. Mary's,1098
2025,South,15,Robert Morris,1100
2025,South,2,Alabama,1146
2025,Midwest,16,SIU Edwardsville,1096
2025,Midwest,1,Houston,1126
2025,Midwest,9,Georgia,1130
2025,Midwest,8,Gonzaga,1129
2025,Midwest,12,McNeese St.,1116
2025,Midwest,5,Clemson,1137
2025,Midwest,13,High Point,1127
2025,Midwest,4,Purdue,1101
2025,Midwest,11,Texas,1093
2025,Midwest,6,Illinois,1125
2025,Midwest,14,Troy,1090
2025,Midwest,3,Kentucky,1122
2025,Midwest,10,Utah St.,1086
2025,Midwest,7,UCLA,1088
2025,Midwest,15,Wofford,1082
2025,Midwest,2,Tennessee,1094
